Year,Edits,IPs,IPs %,Minor edits,Minor edits %,Protections

2001,5,0,0%,3,60%,0
2002,29,10,34.5%,15,51.7%,0
2003,91,31,34.1%,31,34.1%,0
2004,335,169,50.4%,96,28.7%,0
2005,"2,948",1167,39.6%,690,23.4%,6
2006,"4,158",1266,30.4%,"1,190",28.6%,26 
2007,"1,215",240,19.8%,274,22.6%,5 
2008,839,88,10.5%,242,28.8%,3 
2009,333,0,0%,94,28.2%,1 
2010,454,4,0.9%,114,25.1%,4
2012,190,0,0%,50,26.3%,0
2013,188,0,0%,36,19.1%,0
2014,183,0,0%,43,23.5%,0
2015,391,0,0%,36,9.2%,0
2016,195,0,0%,27,13.8%,0
2017,118,0,0%,36,30.5%,0
2018,109,0,0%,36,33%,0
2019,200,0,0%,40,20%,0
2020,114,0,0%,34,29.8%,0
2021,164,0,0%,42,25.6%,0
2022,234,0,0%,53,22.6%,0
2023,171,0,0%,51,29.8%,0
2024,13,0,0%,3,23.1%,0
