Year,Edits,IPs,IPs %,Minor edits,Minor edits %,Protections

2001,6,0,0%,2,33.3%,0
2002,36,8,22.2%,13,36.1%,0
2003,74,20,27%,29,39.2%,0
2004,276,88,31.9%,109,39.5%,0
2005,"1,259",662,52.6%,325,25.8%,2
2006,"2,572",1180,45.9%,780,30.3%,9 
2007,521,0,0%,196,37.6%,0
2008,"1,055",332,31.5%,377,35.7%,7                                                                                                                                                                                      
2009,367,28,7.6%,154,42%,3
2010,458,46,10%,211,46.1%,7 
2011,170,0,0%,66,38.8%,0
2012,201,0,0%,70,34.8%,0
2013,140,0,0%,46,32.9%,0
2014,119,0,0%,36,30.3%,0
2015,159,0,0%,47,29.6%,0
2016,112,0,0%,29,25.9%,0
2017,175,0,0%,62,35.4%,0
2018,169,0,0%,45,26.6%,0
2019,110,0,0%,30,27.3%,0
2020,156,0,0%,38,24.4%,0
2021,228,0,0%,35,15.4%,0
2022,157,0,0%,44,28%,0
2023,175,0,0%,41,23.4%,0
2024,19,0,0%,8,42.1%,0
