Year,Edits,IPs,IPs %,Minor edits,Minor edits %,Protections

2001,2,0,0%,2,100%,0
2002,19,4,21.1%,12,63.2%,0
2003,26,8,30.8%,12,46.2%,0
2004,151,46,30.5%,45,29.8%,0
2005,495,271,54.7%,125,25.3%,0
2006,"1,462",770,52.7%,368,25.2%,2 
2007,"2,125",1106,52%,434,20.4%,3                                                                                              
2008,603,270,44.8%,171,28.4%,4
2009,220,0,0%,55,25%,0
2010,166,0,0%,59,35.5%,0
2011,275,0,0%,76,27.6%,0
2012,56,0,0%,18,32.1%,0
2013,47,0,0%,24,51.1%,0
2014,27,0,0%,14,51.9%,0
2015,36,0,0%,9,25%,0
2016,23,0,0%,7,30.4%,0
2017,136,0,0%,20,14.7%,0
2018,38,0,0%,15,39.5%,0
2019,40,0,0%,9,22.5%,0
2020,25,0,0%,10,40%,0
2021,37,0,0%,12,32.4%,0
2022,31,0,0%,7,22.6%,0
2023,26,0,0%,9,34.6%,0
2024,5,0,0%,0,0%,0
