Year,Edits,IPs,IPs %,Minor edits,Minor edits %,Protections

2001,9,0,0%,5,55.6%,0
2002,67,26,38.8%,26,38.8%,0
2003,191,67,35.1%,73,38.2%,0
2004,650,240,36.9%,163,25.1%,0
2005,"3,456",1467,42.4%,714,20.7%,7                                                                                           
2006,"3,407",1312,38.5%,"1,051",30.8%,16                                                                                                                                                                                     
2007,"1,335",58,4.3%,413,30.9%,4                                                                                        
2008,718,0,0%,166,23.1%,0
2009,911,0,0%,211,23.2%,0
2010,341,0,0%,88,25.8%,0
2011,220,0,0%,99,45%,0
2012,385,0,0%,96,24.9%,0
2013,406,0,0%,113,27.8%,0
2014,118,0,0%,44,37.3%,0
2015,139,0,0%,42,30.2%,0
2016,142,0,0%,36,25.4%,0
2017,100,0,0%,38,38%,0
2018,187,0,0%,45,24.1%,0
2019,198,0,0%,40,20.2%,2
2020,112,0,0%,24,21.4%,0
2021,88,0,0%,14,15.9%,0
2022,70,0,0%,19,27.1%,0
2023,98,0,0%,17,17.3%,0
2024,14,0,0%,5,35.7%,0
