Year,Edits,IPs,IPs %,Minor edits,Minor edits %,Protections

2004,160,50,31.2%,47,29.4%,0
2005,937,313,33.4%,225,24%,3                                                                                                                                                                                          
2006,"1,382",342,24.7%,280,20.3%,3                                                                                            
2007,"1,352",114,8.4%,242,17.9%,5                                                                                           
2008,856,8,0.9%,447,52.2%,5                                                                                                                                                                                        
2009,181,0,0%,85,47%,0
2010,95,17,17.9%,41,43.2%,4 
2011,40,0,0%,14,35%,0
2012,191,0,0%,52,27.2%,3 
2013,25,0,0%,7,28%,0
2014,49,0,0%,21,42.9%,0
2015,34,0,0%,13,38.2%,0
2016,18,0,0%,4,22.2%,0
2017,60,0,0%,13,21.7%,0
2018,42,0,0%,4,9.5%,0
2019,54,0,0%,6,11.1%,0
2020,64,0,0%,13,20.3%,0
2021,48,0,0%,10,20.8%,0
2022,56,0,0%,16,28.6%,0
2023,43,0,0%,11,25.6%,0
2024,4,0,0%,0,0%,0
