Year,Edits,IPs,IPs %,Minor edits,Minor edits %,Protections

2001,21,0,0%,13,61.9%,0
2002,126,57,45.2%,31,24.6%,0
2003,78,30,38.5%,31,39.7%,0
2004,346,116,33.5%,100,28.9%,0
2005,719,311,43.3%,174,24.2%,0
2006,"1,570",614,39.1%,391,24.9%,10 
2007,"1,842",672,36.5%,354,19.2%,13 
2008,958,43,4.5%,281,29.3%,3 
2009,723,2,0.3%,127,17.6%,3 
2010,710,138,19.4%,174,24.5%,4 
2011,257,0,0%,87,33.9%,0
2012,124,0,0%,45,36.3%,0
2013,444,6,1.4%,75,16.9%,4 
2014,77,0,0%,28,36.4%,0
2015,104,0,0%,33,31.7%,0
2016,138,0,0%,45,32.6%,0
2017,151,0,0%,42,27.8%,0
2018,128,0,0%,22,17.2%,0
2019,114,0,0%,42,36.8%,0
2020,70,0,0%,20,28.6%,0
2021,152,0,0%,33,21.7%,0
2022,65,0,0%,17,26.2%,0
2023,74,0,0%,15,20.3%,0
2024,13,0,0%,3,23.1%,0
