Year,Edits,IPs,IPs %,Minor edits,Minor edits %,Protections

2001,3,0,0%,1,33.3%,0
2002,30,14,46.7%,15,50%,0
2003,109,36,33%,40,36.7%,0
2004,207,49,23.7%,103,49.8%,0
2005,452,232,51.3%,120,26.5%,0
2006,"1,193",591,49.5%,294,24.6%,0
2007,"1,096",559,51%,211,19.3%,0
2008,"1,031",508,49.3%,274,26.6%,0
2009,"1,079",493,45.7%,291,27%,0
2010,"1,255",590,47%,332,26.5%,2 
2011,662,270,40.8%,182,27.5%,3 
2012,597,245,41%,157,26.3%,1 
2013,172,8,4.7%,45,26.2%,1 
2014,234,0,0%,92,39.3%,0
2015,101,0,0%,15,14.9%,0
2016,110,0,0%,29,26.4%,0
2017,78,0,0%,26,33.3%,0
2018,114,0,0%,28,24.6%,0
2019,191,0,0%,59,30.9%,0
2020,143,0,0%,44,30.8%,0
2021,116,0,0%,40,34.5%,0
2022,87,0,0%,20,23%,0
2023,70,0,0%,27,38.6%,0
2024,14,0,0%,7,50%,0
